"","subject","keypoint","condition","trial","distance.sum","max.frame.count","min.frame.count","tracked_data_count","prop_tracked_data","median_err","mean.distance.chair.owner","min.distance.chair.owner","prop_chair_owner","area_covered","tail_angle_mean","tail_angle_median","tail_angle_prop_tracked","head_angle_mean","head_angle_median","head_angle_prop_tracked"
"47","Abby2","tail_tip","teasing",3,2232.41784794089,4585,3818,768,1,6.43057706969929,2891.58033214387,2822.49939908385,0,NA,-73.1886474030129,-152.135102336142,1,42.1536950728251,120.447517946903,1
"48","Abby2","tail_tip","teasing",4,9208.5608624011,5984,5248,735,0.997286295793758,6.15048883027512,2603.29418322814,974.025346021512,0.0827679782903663,NA,-98.4526995631176,-138.606251488149,0.997286295793758,102.737352848907,141.441522420424,1
"49","Allegro2","head_centre","blocked",1,25383.0886144496,2430,1454,833,0.852610030706244,7.25518682704471,3985.61626634201,1015.72619128213,0.0163766632548618,0.188888888888889,18.8311463296884,96.3934782052057,0.846625766871166,-8.57835032300339,-49.619956250577,0.807770961145194
"50","Allegro2","head_centre","blocked",2,24695.9124875021,3940,3137,790,0.982587064676617,8.50767803355205,3003.22997524056,779.21747586519,0.0771144278606965,0.194444444444444,-17.2594670389075,-97.3639967972854,0.977611940298508,6.85996386656114,23.3939045773113,0.953980099502488
"51","Allegro2","head_centre","blocked",3,26585.7347013397,5474,4718,750,0.990752972258917,8.8698401428772,3453.71535644902,834.236482829899,0.0581241743725231,0.25,19.13817064648,97.4677904717643,0.940554821664465,0.872138349762093,10.4848627735083,0.937912813738441
"52","Allegro2","head_centre","blocked",4,21876.1394532762,6975,6171,775,0.962732919254658,8.2588663360074,2649.68216173815,724.915940267556,0.301863354037267,0.15,-12.2100021013139,-71.2913000710897,0.962732919254658,33.3761521411822,107.179535528888,0.942857142857143
"53","Allegro2","head_centre","clumsy",1,18761.0084935767,2442,1526,828,0.902944383860414,7.54685053198247,4120.08949825494,3586.2698757076,0,0.0611111111111111,-26.5881462327452,-125.73819726159,0.902944383860414,42.2280344022051,104.951309193601,0.805888767720829
"54","Allegro2","head_centre","clumsy",2,17485.132916731,4019,3180,784,0.933333333333333,7.91067350828208,4029.71695805898,3398.43346279836,0,0.0722222222222222,-2.93788912562508,80.7358458531988,0.920238095238095,5.63390165479907,85.6940899429948,0.878571428571429
"55","Allegro2","head_centre","clumsy",3,18215.810340644,5497,4680,653,0.798288508557457,7.97375781342327,4142.47298857253,2708.15791240381,0,0.0944444444444444,-12.1718021830451,-97.6522591898044,0.794621026894865,17.3974243250497,72.4526644368766,0.762836185819071
"56","Allegro2","head_centre","clumsy",4,15052.8162229558,6943,6124,820,1,6.77739341189294,3624.73076748376,3262.19001271025,0,0.0444444444444444,-0.54574271855802,-83.1434377756622,1,4.42979517261095,82.4506530445999,0.986585365853659
"57","Allegro2","head_centre","teasing",1,17739.0150182735,2061,1306,756,1,6.53279664039596,3673.94970724198,3340.52247037145,0,0.0666666666666667,1.93289490504929,9.12303839923815,0.965608465608466,16.4296721139149,107.754935109039,0.96957671957672
"58","Allegro2","head_centre","teasing",2,18085.7838956302,3414,2624,775,0.979772439949431,7.2618497618415,3740.42466122962,3001.2956061792,0,0.0888888888888889,-11.9657457556809,-85.3721869362462,0.945638432364096,38.1802103071628,119.420744001859,0.958280657395702
"59","Allegro2","head_centre","teasing",3,26869.3589857622,4836,3992,736,0.871005917159763,7.37493817727193,4073.88685450527,2857.66337599922,0,0.255555555555556,-9.45843146723966,-83.6446907660574,0.83905325443787,-7.87734011705385,-26.8418349818817,0.784615384615385
"60","Allegro2","head_centre","teasing",4,21608.6025143836,6197,5401,790,0.991217063989962,7.71934923739394,3798.56824918377,1428.74297102866,0,0.138888888888889,-9.74216901479036,-85.9602101051136,0.974905897114178,-2.94749684104776,-84.6909983270023,0.954830614805521
"61","Allegro2","snout","blocked",1,31268.2382365472,2431,1454,832,0.850715746421268,9.39502808378264,4004.07523561262,966.367935576048,0.016359918200409,NA,18.8311463296884,96.3934782052057,0.846625766871166,-8.57835032300339,-49.619956250577,0.807770961145194
"62","Allegro2","snout","blocked",2,30539.2867385309,3940,3137,779,0.968905472636816,11.2100913735999,3024.6772823721,614.186839636952,0.0758706467661692,NA,-17.2594670389075,-97.3639967972854,0.977611940298508,6.85996386656114,23.3939045773113,0.953980099502488
"63","Allegro2","snout","blocked",3,29598.3911380692,5474,4718,724,0.956406869220608,11.7394931147645,3461.98375264358,812.857992360414,0.0541611624834875,NA,19.13817064648,97.4677904717643,0.940554821664465,0.872138349762093,10.4848627735083,0.937912813738441
"64","Allegro2","snout","blocked",4,24017.5465005492,6975,6171,761,0.945341614906832,6.7744470793392,2678.17407086727,746.922992106536,0.277018633540373,NA,-12.2100021013139,-71.2913000710897,0.962732919254658,33.3761521411822,107.179535528888,0.942857142857143
"65","Allegro2","snout","clumsy",1,26693.9020070221,2442,1526,767,0.836423118865867,10.8916522278924,4151.97679928592,3562.64612195272,0,NA,-26.5881462327452,-125.73819726159,0.902944383860414,42.2280344022051,104.951309193601,0.805888767720829
"66","Allegro2","snout","clumsy",2,22892.5887278091,4019,3180,763,0.908333333333333,16.2023286504329,4080.90826600636,3359.64947350063,0,NA,-2.93788912562508,80.7358458531988,0.920238095238095,5.63390165479907,85.6940899429948,0.878571428571429
"67","Allegro2","snout","clumsy",3,20975.4962990592,5497,4680,645,0.788508557457213,11.5135006061493,4172.77503748791,2693.07747244386,0,NA,-12.1718021830451,-97.6522591898044,0.794621026894865,17.3974243250497,72.4526644368766,0.762836185819071
"68","Allegro2","snout","clumsy",4,20787.396339782,6943,6124,809,0.986585365853659,9.57123600909117,3692.16424422638,3211.60594855692,0,NA,-0.54574271855802,-83.1434377756622,1,4.42979517261095,82.4506530445999,0.986585365853659
"69","Allegro2","snout","teasing",1,20165.1596262132,2061,1306,735,0.972222222222222,8.56972566570232,3770.31603361644,3340.81957926472,0,NA,1.93289490504929,9.12303839923815,0.965608465608466,16.4296721139149,107.754935109039,0.96957671957672
"70","Allegro2","snout","teasing",2,22705.9101984725,3414,2624,762,0.963337547408344,10.1124285737238,3809.66044700528,2943.66538627835,0,NA,-11.9657457556809,-85.3721869362462,0.945638432364096,38.1802103071628,119.420744001859,0.958280657395702
"71","Allegro2","snout","teasing",3,31712.0983979174,4836,3992,702,0.830769230769231,8.56427622876154,4096.75764845256,2855.16765273897,0,NA,-9.45843146723966,-83.6446907660574,0.83905325443787,-7.87734011705385,-26.8418349818817,0.784615384615385
"72","Allegro2","snout","teasing",4,25714.3892961852,6197,5401,764,0.958594730238394,11.9397711567644,3841.94016374509,1335.12695177604,0,NA,-9.74216901479036,-85.9602101051136,0.974905897114178,-2.94749684104776,-84.6909983270023,0.954830614805521
"73","Allegro2","tail_base","blocked",1,22419.7531267417,2431,1454,966,0.987730061349693,10.8785900726458,3678.79494688788,1024.2676208744,0.0235173824130879,NA,18.8311463296884,96.3934782052057,0.846625766871166,-8.57835032300339,-49.619956250577,0.807770961145194
"74","Allegro2","tail_base","blocked",2,20633.2131469381,3940,3137,804,1,9.84400579764756,2844.67565116743,1057.08131056697,0.0746268656716418,NA,-17.2594670389075,-97.3639967972854,0.977611940298508,6.85996386656114,23.3939045773113,0.953980099502488
"75","Allegro2","tail_base","blocked",3,25858.0863596864,5474,4718,746,0.985468956406869,13.02338039028,3499.96773628027,656.933528286247,0.0409511228533686,NA,19.13817064648,97.4677904717643,0.940554821664465,0.872138349762093,10.4848627735083,0.937912813738441
"76","Allegro2","tail_base","blocked",4,21363.5003081597,6975,6171,805,1,12.1999658717405,2538.07074331206,526.533551059524,0.278260869565217,NA,-12.2100021013139,-71.2913000710897,0.962732919254658,33.3761521411822,107.179535528888,0.942857142857143
"77","Allegro2","tail_base","clumsy",1,10768.4022074689,2442,1526,917,1,9.4951664335252,3746.73719155002,2833.62829722831,0,NA,-26.5881462327452,-125.73819726159,0.902944383860414,42.2280344022051,104.951309193601,0.805888767720829
"78","Allegro2","tail_base","clumsy",2,12670.2802598455,4019,3180,836,0.995238095238095,9.78757431309064,3630.58838731381,2805.28602796803,0,NA,-2.93788912562508,80.7358458531988,0.920238095238095,5.63390165479907,85.6940899429948,0.878571428571429
"79","Allegro2","tail_base","clumsy",3,16295.0766772826,5497,4680,805,0.984107579462103,14.759783724518,3954.46254089984,2848.38076287509,0,NA,-12.1718021830451,-97.6522591898044,0.794621026894865,17.3974243250497,72.4526644368766,0.762836185819071
"80","Allegro2","tail_base","clumsy",4,11375.7157287368,6943,6124,820,1,8.51323043801147,3064.10669229645,2787.13413050903,0,NA,-0.54574271855802,-83.1434377756622,1,4.42979517261095,82.4506530445999,0.986585365853659
"81","Allegro2","tail_base","teasing",1,18434.2196747749,2061,1306,754,0.997354497354497,9.85313521956606,3241.52952325834,2764.96598694185,0,NA,1.93289490504929,9.12303839923815,0.965608465608466,16.4296721139149,107.754935109039,0.96957671957672
"82","Allegro2","tail_base","teasing",2,18272.0764026154,3414,2624,791,1,9.96582499490131,3343.43221868257,2724.80073448043,0,NA,-11.9657457556809,-85.3721869362462,0.945638432364096,38.1802103071628,119.420744001859,0.958280657395702
"83","Allegro2","tail_base","teasing",3,25509.5940322005,4836,3992,829,0.981065088757396,12.4239618781347,3738.87135152837,2727.31142864822,0,NA,-9.45843146723966,-83.6446907660574,0.83905325443787,-7.87734011705385,-26.8418349818817,0.784615384615385
"84","Allegro2","tail_base","teasing",4,19685.2377822075,6197,5401,795,0.997490589711418,9.48910707687802,3526.78005786389,2210.67526557879,0,NA,-9.74216901479036,-85.9602101051136,0.974905897114178,-2.94749684104776,-84.6909983270023,0.954830614805521
"85","Allegro2","tail_tip","blocked",1,51081.5271720789,2431,1454,974,0.995910020449898,9.85738759602703,3628.61591047264,808.488550953894,0.0235173824130879,NA,18.8311463296884,96.3934782052057,0.846625766871166,-8.57835032300339,-49.619956250577,0.807770961145194
"86","Allegro2","tail_tip","blocked",2,44427.6126626754,3940,3137,800,0.995024875621891,8.4918052016233,2806.91855718314,863.044329862499,0.0758706467661692,NA,-17.2594670389075,-97.3639967972854,0.977611940298508,6.85996386656114,23.3939045773113,0.953980099502488
"87","Allegro2","tail_tip","blocked",3,54530.4049965916,5474,4718,725,0.95772787318362,13.1152072177347,3526.42649086324,565.615904413911,0.0396301188903567,NA,19.13817064648,97.4677904717643,0.940554821664465,0.872138349762093,10.4848627735083,0.937912813738441
"88","Allegro2","tail_tip","blocked",4,46375.091488536,6975,6171,805,1,12.2276791178279,2558.43875449749,461.794525597155,0.277018633540373,NA,-12.2100021013139,-71.2913000710897,0.962732919254658,33.3761521411822,107.179535528888,0.942857142857143
"89","Allegro2","tail_tip","clumsy",1,23878.2468895633,2442,1526,917,1,8.61991913968556,3706.77034364795,2726.73814842491,0,NA,-26.5881462327452,-125.73819726159,0.902944383860414,42.2280344022051,104.951309193601,0.805888767720829
"90","Allegro2","tail_tip","clumsy",2,46600.932024075,4019,3180,832,0.990476190476191,8.059731457257,3592.2443615604,2706.23957904935,0,NA,-2.93788912562508,80.7358458531988,0.920238095238095,5.63390165479907,85.6940899429948,0.878571428571429
"91","Allegro2","tail_tip","clumsy",3,41927.5172346633,5497,4680,815,0.996332518337408,10.3214304211139,3928.51030338239,2703.74911197004,0,NA,-12.1718021830451,-97.6522591898044,0.794621026894865,17.3974243250497,72.4526644368766,0.762836185819071
"92","Allegro2","tail_tip","clumsy",4,38263.5494638722,6943,6124,820,1,6.77846361078699,2989.2454561356,2603.81233320569,0,NA,-0.54574271855802,-83.1434377756622,1,4.42979517261095,82.4506530445999,0.986585365853659
"93","Allegro2","tail_tip","teasing",1,59396.2289702745,2061,1306,732,0.968253968253968,8.19620905129217,3231.86643515381,2562.30906560821,0,NA,1.93289490504929,9.12303839923815,0.965608465608466,16.4296721139149,107.754935109039,0.96957671957672
"94","Allegro2","tail_tip","teasing",2,50599.6623392298,3414,2624,760,0.960809102402023,8.25373342867549,3310.49873146201,2526.9977377576,0,NA,-11.9657457556809,-85.3721869362462,0.945638432364096,38.1802103071628,119.420744001859,0.958280657395702
"95","Allegro2","tail_tip","teasing",3,46052.2099097104,4836,3992,819,0.969230769230769,13.7058002605243,3732.13491489999,2534.30799544322,0,NA,-9.45843146723966,-83.6446907660574,0.83905325443787,-7.87734011705385,-26.8418349818817,0.784615384615385
"96","Allegro2","tail_tip","teasing",4,49617.9143397007,6197,5401,784,0.983688833124216,9.23240269721745,3524.30928081922,2186.96800699111,0,NA,-9.74216901479036,-85.9602101051136,0.974905897114178,-2.94749684104776,-84.6909983270023,0.954830614805521
"97","Aoife","head_centre","blocked",1,5480.84562288702,3119,2264,856,1,4.96529393359328,3607.21151143413,3466.48828307278,0,0.0166666666666667,2.22210763522588,79.0001611741117,0.991822429906542,53.8556888061783,156.845534479379,0.985981308411215
"98","Aoife","head_centre","blocked",2,3232.60342367705,4728,3864,865,1,5.68583133065948,3396.08245949663,3334.82221935569,0,0.0111111111111111,130.381775627252,159.843230668324,1,100.056926127137,160.814728174299,1
"99","Aoife","head_centre","blocked",3,9080.53560670417,6416,5506,911,1,5.63356431355676,3597.06865896985,3166.54045390231,0,0.0388888888888889,-8.69869967127735,-89.2570538781453,0.982436882546652,35.9964437646369,135.638351390022,0.950603732162459
"100","Aoife","head_centre","blocked",4,10392.3442427708,8033,7242,792,1,5.20728478253771,3409.87650041984,1916.76739568085,0,0.0666666666666667,-2.983193540227,-82.3352038709601,0.98989898989899,17.2916780662986,120.371363907637,0.976010101010101
"101","Aoife","head_centre","clumsy",1,8768.26863073366,2351,1563,789,1,5.07519608114493,3669.27280069983,3590.80164977214,0,0.0166666666666667,0.54489197289609,-80.7231652454376,0.991128010139417,85.5396579568449,150.627431566801,0.865652724968314
"102","Aoife","head_centre","clumsy",2,7333.21658203274,4420,3603,818,1,4.68080126303614,3658.89743629775,3597.66761170773,0,0.0111111111111111,-3.4748042758462,-87.869054795268,0.998777506112469,103.098091409045,152.665140448271,0.936430317848411
"103","Aoife","head_centre","clumsy",3,5985.1440105762,6045,5204,842,1,4.71675161521918,3655.30211021816,3589.5422627725,0,0.0111111111111111,-5.95626586318715,-89.0946058656713,0.996437054631829,102.690811925062,148.936900530175,0.977434679334917
"104","Aoife","head_centre","clumsy",4,4725.5327297615,7651,6826,826,1,7.24737538040849,3553.93141361523,3456.23671969931,0,0.0111111111111111,-5.43400495954455,-100.338497771952,0.997578692493947,155.466874472168,160.62154597483,1
"105","Aoife","head_centre","teasing",1,10442.5759094554,3390,2544,844,0.996458087367178,6.34562434490671,3607.71271093451,3409.08497592391,0,0.0333333333333333,5.90739921686371,92.5732875335823,0.942148760330578,50.1699985657582,158.600188681844,0.893742621015348
"106","Aoife","head_centre","teasing",2,9155.85180589384,5174,4405,770,1,6.45865253419198,3604.23708617344,3446.73098078547,0,0.0333333333333333,-1.99255144799427,-89.201240132747,0.932467532467532,47.2388520918004,157.451260579809,0.922077922077922
"107","Aoife","head_centre","teasing",3,6372.2801716792,7011,6189,823,1,5.8828640881877,3578.90657100492,3446.00222796638,0,0.0277777777777778,20.318517846622,104.167083976339,0.97812879708384,-62.861484068798,-156.411974463376,0.879708383961118
"108","Aoife","head_centre","teasing",4,5227.88230901777,8533,7754,780,1,5.59794296762676,3599.47603912849,3532.94119176569,0,0.0222222222222222,8.58149456520001,99.6360962856169,0.991025641025641,-40.7975078650655,-158.31876790414,0.933333333333333
"109","Aoife","snout","blocked",1,9655.22177102892,3119,2264,845,0.98714953271028,8.49856976581371,3701.73912392979,3541.22703425321,0,NA,2.22210763522588,79.0001611741117,0.991822429906542,53.8556888061783,156.845534479379,0.985981308411215
"110","Aoife","snout","blocked",2,5953.50490396088,4728,3864,865,1,9.58399751125817,3502.26926191228,3436.30831143936,0,NA,130.381775627252,159.843230668324,1,100.056926127137,160.814728174299,1
"111","Aoife","snout","blocked",3,15719.5195200835,6416,5506,866,0.950603732162459,11.446570335945,3667.88242287801,3140.62249526116,0,NA,-8.69869967127735,-89.2570538781453,0.982436882546652,35.9964437646369,135.638351390022,0.950603732162459
"112","Aoife","snout","blocked",4,16013.9920406395,8033,7242,775,0.978535353535353,9.4104154323744,3487.05226888941,1864.75133634543,0,NA,-2.983193540227,-82.3352038709601,0.98989898989899,17.2916780662986,120.371363907637,0.976010101010101
"113","Aoife","snout","clumsy",1,15565.4368651509,2351,1563,683,0.865652724968314,8.1577264409596,3726.1971318026,3579.04326591067,0,NA,0.54489197289609,-80.7231652454376,0.991128010139417,85.5396579568449,150.627431566801,0.865652724968314
"114","Aoife","snout","clumsy",2,13751.1758232914,4420,3603,766,0.936430317848411,7.95296392603423,3729.20646429037,3598.6006418297,0,NA,-3.4748042758462,-87.869054795268,0.998777506112469,103.098091409045,152.665140448271,0.936430317848411
"115","Aoife","snout","clumsy",3,12407.0068881854,6045,5204,823,0.977434679334917,8.28125043662444,3722.78903789795,3633.44616867919,0,NA,-5.95626586318715,-89.0946058656713,0.996437054631829,102.690811925062,148.936900530175,0.977434679334917
"116","Aoife","snout","clumsy",4,5959.99002010985,7651,6826,826,1,6.26114454118343,3653.70374801879,3552.64071657951,0,NA,-5.43400495954455,-100.338497771952,0.997578692493947,155.466874472168,160.62154597483,1
"117","Aoife","snout","teasing",1,16653.2345595714,3390,2544,770,0.909090909090909,8.23040102697684,3719.42133311673,3406.5771301995,0,NA,5.90739921686371,92.5732875335823,0.942148760330578,50.1699985657582,158.600188681844,0.893742621015348
"118","Aoife","snout","teasing",2,13550.9393587292,5171,4405,714,0.930899608865711,7.62391108721923,3711.35509081104,3400.31366029578,0,NA,-1.99255144799427,-89.201240132747,0.932467532467532,47.2388520918004,157.451260579809,0.922077922077922
