"","Subject","trial","Value","Behaviour","sum_duration","X","birth_date","subject","sex","age_years","test.date","age","first_demo","first_condition","first_exp_id","second_demo","second_condition","second_exp_id","unable_experimenter","unwilling_experimenter","condition","block"
"86","Adderley",4,"front_down",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unwilling",1
"87","Adderley",4,"lateral_approach",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unwilling",1
"88","Adderley",4,"rest","sitting_laying_down",27.9166494,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unwilling",1
"89","Adderley",4,"pawing",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unwilling",1
"90","Adderley",4,"unable",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unwilling",1
"91","Adderley",4,"unwilling",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unwilling",1
"92","Adderley",4,"walk_away",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unwilling",1
"93","Adderley",5,"1",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unable",2
"94","Adderley",5,"10",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unable",2
"95","Adderley",5,"11",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unable",2
"96","Adderley",5,"12",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unable",2
"97","Adderley",5,"13",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unable",2
"98","Adderley",5,"14",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unable",2
"99","Adderley",5,"15",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unable",2
"100","Adderley",5,"16",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unable",2
"101","Adderley",5,"2",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unable",2
"102","Adderley",5,"3",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unable",2
"103","Adderley",5,"4",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unable",2
"104","Adderley",5,"5","trial",30.3499811,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unable",2
"105","Adderley",5,"6",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unable",2
"106","Adderley",5,"7",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unable",2
